#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2018-08-01T15:39:31 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5b61d41f8b1f	
#INFO	-out.max=unlimited	
#INFO	queryParameters=21	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/ApJ/743/76&tab:{J/ApJ/743/76/table1}&key:source=J/ApJ/743/76/table1&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJ/743/76/table1
#-order=I
#-out=Name
#-out=Period
#-out=[3.6]
#-out=e_[3.6]
#-out=[4.5]
#-out=e_[4.5]
#-out=Color
#-out=e_Color
#LC=LC
#-out=SimbadName
#-out=_RA
#-out=_DE
#

#RESOURCE=yCat_17430076
#Name: J/ApJ/743/76
#Title: Spitzer photometry of LMC Cepheids (Scowcroft+, 2011)
#Table	J_ApJ_743_76_table1:
#Name: J/ApJ/743/76/table1
#Title: Magnitudes for LMC Cepheids
#Column	Name	(A7)	Cepheid name (HVNNNNN or P71_U01)	[ucd=meta.id;meta.main]
#Column	Period	(F7.3)	Final adopted period	[ucd=time.period]
#Column	[3.6]	(F6.3)	Spitzer/IRAC 3.6 micron band magnitude (1)	[ucd=phot.mag;em.IR.3-4um]
#Column	e_[3.6]	(F6.3)	The 1{sigma} error in [3.6] (2)	[ucd=stat.error]
#Column	[4.5]	(F6.3)	Spitzer/IRAC 4.5 micron band magnitude (1)	[ucd=phot.mag;em.IR.4-8um]
#Column	e_[4.5]	(F6.3)	The 1{sigma} error in [4.5] (2)	[ucd=stat.error]
#Column	Color	(F6.3)	The (3.6-4.5) band color index (1)	[ucd=phot.color;em.IR;em.IR]
#Column	e_Color	(F6.3)	The 1{sigma} error in Color (2)	[ucd=stat.error;phot.color]
#Column	SimbadName	(a13)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA	(F9.5)	Positions from SIMBAD database (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Positions from SIMBAD database (declination part)	[ucd=pos.eq.dec;meta.main]
Name	Period	[3.6]	e_[3.6]	[4.5]	e_[4.5]	Color	e_Color	SimbadName	_RA	_DE
HV02279	  6.895	13.077	 0.013	13.050	 0.014	 0.023	 0.002	HV02279      	075.73850	-68.69533
HV02282	 14.677	12.218	 0.005	12.221	 0.005	-0.003	 0.002	HV02282      	075.35392	-70.07178
HV02291	 22.317	11.667	 0.006	11.706	 0.006	-0.036	 0.002	HV02291      	075.94238	-68.87678
HV02294	 36.552	10.663	 0.006	10.700	 0.006	-0.036	 0.002	HV02294      	076.56172	-66.67942
HV02324	 14.466	12.205	 0.005	12.221	 0.004	-0.017	 0.002	HV02324      	076.84042	-68.33844
HV02337	  6.863	13.247	 0.016	13.212	 0.015	 0.034	 0.005	HV02337      	077.40400	-68.04544
HV02338	 42.200	10.580	 0.007	10.640	 0.007	-0.057	 0.002	HV02338      	076.53700	-71.25725
HV02339	 13.880	12.139	 0.004	12.143	 0.004	-0.005	 0.001	HV02339      	077.20642	-68.99975
HV02352	 13.632	12.282	 0.003	12.267	 0.003	 0.014	 0.001	HV02352      	077.26825	-70.36503
HV02369	 48.377	10.297	 0.006	10.355	 0.006	-0.058	 0.003	HV02369      	078.47363	-67.06345
HV02405	  6.924	13.309	 0.011	13.283	 0.012	 0.025	 0.005	HV02405      	078.67321	-70.70889
HV02432	 10.918	12.446	 0.015	12.427	 0.016	 0.018	 0.005	HV02432      	079.55746	-68.32514
HV02447	118.350	 9.440	 0.006	 9.438	 0.005	 0.003	 0.002	HV02447      	079.87711	-68.68602
HV02463	 13.965	12.142	 0.004	12.134	 0.004	 0.006	 0.001	HV02463      	080.11929	-69.02550
HV02527	 12.950	12.452	 0.005	12.456	 0.005	-0.004	 0.002	HV02527      	081.41287	-71.11106
HV02538	 13.869	12.246	 0.003	12.266	 0.003	-0.020	 0.002	HV02538      	081.78233	-68.49525
HV02549	 16.220	11.885	 0.004	11.891	 0.004	-0.006	 0.001	HV02549      	081.75237	-71.64325
HV02579	 13.428	12.121	 0.003	12.114	 0.004	 0.006	 0.001	HV02579      	082.31904	-67.47261
HV02580	 16.918	11.879	 0.006	11.910	 0.005	-0.031	 0.001	HV02580      	082.35675	-66.23978
HV02733	  8.722	12.887	 0.011	12.855	 0.010	 0.029	 0.005	HV02733      	084.32171	-66.75517
HV02749	 23.105	11.625	 0.004	11.682	 0.004	-0.058	 0.002	HV02749      	084.81317	-69.32756
HV02793	 19.220	11.734	 0.006	11.767	 0.005	-0.033	 0.002	HV02793      	085.45229	-68.68781
HV02827	 78.802	 9.744	 0.004	 9.824	 0.003	-0.081	 0.002	HV02827      	085.94719	-66.58582
HV02836	 17.528	11.988	 0.005	12.008	 0.005	-0.019	 0.002	HV02836      	086.29150	-67.38586
HV02854	  8.635	12.810	 0.016	12.785	 0.013	 0.024	 0.005	HV02854      	086.91367	-66.96747
HV02883	108.970	 9.953	 0.010	 9.958	 0.009	-0.006	 0.002	HV02883      	074.11250	-64.69056
HV05497	 99.100	 9.345	 0.004	 9.376	 0.003	-0.030	 0.002	HV05497      	073.91894	-66.42867
HV05655	 14.211	12.308	 0.005	12.325	 0.005	-0.015	 0.002	HV05655      	077.77246	-70.50956
HV06065	  6.838	13.301	 0.011	13.282	 0.013	 0.014	 0.005	HV06065      	087.73767	-69.67531
HV06098	 24.237	11.224	 0.003	11.218	 0.003	 0.006	 0.001	HV06098      	074.43767	-65.70836
HV08036	 28.369	11.329	 0.006	11.374	 0.006	-0.044	 0.002	HV08036      	071.40502	-70.25107
HV12452	  8.736	12.837	 0.016	12.832	 0.015	 0.003	 0.005	HV12452      	072.21396	-69.35633
HV12471	 15.863	12.178	 0.004	12.208	 0.004	-0.028	 0.002	HV12471      	072.71854	-69.31553
HV12505	 14.389	12.327	 0.005	12.338	 0.005	-0.013	 0.001	HV12505      	074.48637	-68.81600
HV12656	 13.400	12.269	 0.002	12.248	 0.002	 0.020	 0.001	HV12656      	087.02892	-71.50592
HV12700	  8.153	12.975	 0.011	12.953	 0.012	 0.022	 0.005	HV12700      	089.38129	-67.62483
HV12717	  8.843	12.877	 0.015	12.842	 0.015	 0.034	 0.005	HV12717      	070.83687	-69.22994
HV12724	 13.744	12.419	 0.004	12.444	 0.005	-0.025	 0.002	HV12724      	071.50446	-69.64883
HV12815	 26.135	11.212	 0.006	11.257	 0.006	-0.042	 0.002	HV12815      	082.51024	-65.93389
HV12816	  9.108	12.890	 0.011	12.869	 0.011	 0.019	 0.002	HV12816      	082.49342	-65.90569
HV13048	  6.853	13.165	 0.011	13.152	 0.013	 0.010	 0.005	HV13048      	087.71458	-67.14167
P71_U01	 22.558	11.661	 0.007	11.702	 0.007	-0.038	 0.002	EV* LMC V0033	071.77871	-69.29431
